emotion_model,classifier_type,best_params
ekman,random_forest,{'classifier_type': 'random_forest'}
ekman,svm,{'classifier_type': 'svm'}
ekman,mlp,{'classifier_type': 'mlp'}
plutchik,random_forest,{'classifier_type': 'random_forest'}
plutchik,svm,{'classifier_type': 'svm'}
plutchik,mlp,{'classifier_type': 'mlp'}
quadrant,random_forest,{'classifier_type': 'random_forest'}
quadrant,svm,{'classifier_type': 'svm'}
quadrant,mlp,{'classifier_type': 'mlp'}
custom,random_forest,{'classifier_type': 'random_forest'}
custom,svm,{'classifier_type': 'svm'}
custom,mlp,{'classifier_type': 'mlp'}
